Date,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (inHg),Precipitation (in),R0orig,R0alp,R0dlt,R0omi,cumFirstDose,cumSecondDose,cumThirdDose
2020-03-01,41.4,32.4,70.9,10.7,28.8,0.0,1.0000000148529775,,,,,,
2020-03-02,39.0,30.6,75.4,7.1,28.9,0.0,1.0000000148529775,,,,,,
2020-03-03,40.8,33.0,75.3,8.2,29.2,0.0,1.0000000148529775,,,,,,
2020-03-04,38.5,34.9,86.8,5.2,29.4,0.0,1.0000000148529775,,,,,,
2020-03-05,39.1,36.0,87.9,9.3,29.1,0.0,1.0000000148529775,,,,,,
2020-03-06,39.1,30.6,74.2,3.3,29.3,0.0,1.0000000148529775,,,,,,
2020-03-07,46.2,40.8,81.2,9.6,29.5,0.0,1.0000000148529775,,,,,,
2020-03-08,48.5,39.9,72.8,12.5,29.2,0.0,1.0000000148529775,,,,,,
2020-03-09,44.5,38.7,80.6,10.6,29.4,0.0,10.205665243777867,,,,,,
2020-03-10,53.4,48.4,84.0,11.4,29.2,0.0,12.208603123622884,,,,,,
2020-03-11,48.9,42.0,77.4,11.2,29.3,0.0,7.966910530597287,,,,,,
2020-03-12,42.6,31.8,66.1,13.3,29.4,0.0,2.6112661443777028,,,,,,
2020-03-13,43.3,37.5,80.6,8.5,29.6,0.0,2.380378215229981,,,,,,
2020-03-14,46.6,43.6,89.1,10.1,29.5,0.0,3.2680757427793763,,,,,,
2020-03-15,46.8,42.2,83.2,9.3,29.4,0.0,1.5673728812860026,,,,,,
2020-03-16,44.2,34.6,69.7,6.8,29.8,0.0,3.1070011564344786,,,,,,
2020-03-17,49.5,44.4,84.0,10.7,29.9,0.0,3.5232322250022214,,,,,,
2020-03-18,46.7,44.6,93.2,8.2,29.9,0.0,4.820605322064151,,,,,,
2020-03-19,41.5,36.7,83.4,7.1,30.0,0.0,5.324241585201854,,,,,,
2020-03-20,42.3,35.8,78.2,11.5,30.1,0.0,6.946653104565464,,,,,,
2020-03-21,41.9,29.4,63.9,12.7,30.0,0.0,6.6953032868388265,,,,,,
2020-03-22,41.1,30.3,68.3,8.7,30.0,0.0,12.896977714308267,,,,,,
2020-03-23,40.9,29.4,67.8,6.4,29.9,0.0,13.350552125424846,,,,,,
2020-03-24,45.5,36.3,71.7,7.6,29.9,0.0,17.232126613236698,,,,,,
2020-03-25,45.8,28.9,54.5,5.3,29.9,0.0,27.28385803653386,,,,,,
2020-03-26,43.9,26.2,53.0,6.1,29.9,0.0,42.51400233971968,,,,,,
2020-03-27,41.8,31.8,71.3,9.9,29.9,0.0,96.02661988700115,,,,,,
2020-03-28,42.2,34.1,73.2,14.2,30.1,0.0,95.4735783829988,,,,,,
2020-03-29,39.7,26.6,60.4,15.9,30.4,0.0,201.56237777802968,,,,,,
2020-03-30,40.9,33.0,74.2,9.6,30.2,0.0,384.8550891014822,,,,,,
2020-03-31,42.3,33.3,72.1,7.9,30.1,0.0,801.2462046816057,,,,,,
2020-04-01,42.7,33.1,69.6,7.6,29.9,0.0,16.88214677305053,,,,,,
2020-04-02,48.5,38.0,68.1,10.2,29.6,0.0,4.41834213730693,,,,,,
2020-04-03,47.3,34.4,62.7,6.1,29.7,0.0,5.236049008303937,,,,,,
